ID,Tweet,Created_at,Location,Geo_coordinates,Followers_for_the_user,Friends,Sentiment_analysis
1070802687300681731,"Trump Reportedly Unaware Of Huawei Extradition Request Before Xi Dinner While Trudeau Knew | Zero Hedge
⁦… https://t.co/iQf8Oqncyv",2018-12-06 22:10:29,International,None,1150,3055,0.0
1070802687577403393,"@andrewklavan @penny_fuente @DanRather forces did swell within the population, and did shake our republic. That is… https://t.co/MSXrPbgWNS",2018-12-06 22:10:29,Nor Calif,None,3808,4808,0.0
1070802688105947136,RT @ddjack: Is this a trick question or something (???): “Is Trump a Traitor?” via @NYTimes https://t.co/qaQHOwMnFn,2018-12-06 22:10:30,,None,148,269,0.0
1070802688235888640,"RT @JamesHouser56: @TheNoahRing Lincoln , Reagan , Trump ! MAGA",2018-12-06 22:10:30,,None,527,1579,0.0
1070802686877028354,"President Trump helping a lost boy in New York City (1992, colorized). https://t.co/4qqXI7EiGn",2018-12-06 22:10:29,"New York, USA",None,1678,575,0.13636363636363635
1070802688860839937,"@JoyVBehar PLEASE LEAVE TV! People are really sick of your neurotic, compulsive and psychotic obsession with PRESID… https://t.co/NnPFaqhMAS",2018-12-06 22:10:30,Middle USA,None,197,586,-0.6071428571428572
1070802687632044033,"RT @Heisnear_Com: 🇺🇸🇺🇸 *PRAY for PRES. TRUMP, that GOD gives him wisdom, sound judgment &amp; strength to lead America according to His 'will'…",2018-12-06 22:10:29,protect freedom and liberty,None,21732,10445,0.4
1070802689351696384,"RT @CenterForBioDiv: BREAKING: We and our allies at the @NRDC, @HumaneSociety, and @HSIGlobal sued the Trump administration today for faili…",2018-12-06 22:10:30,"long island, ny",None,12361,11985,0.0
1070802689485914113,RT @Shem_Infinite: Tell us again how the fake news isn't the enemy of the people lol. So ridiculously and blatantly hostile and biased and…,2018-12-06 22:10:30,"Carrollton, TX",None,1235,1326,-0.1333333333333333
1070802689573957632,RT @leeleeb50: I am so fucking sick of all the bashing of Hillary! Bill was looking trump's way and trump turned away!  If I was Hillary I…,2018-12-06 22:10:30,"Hallandale Beach, FL",None,5519,6058,-1.0
1070802689892724736,RT @SaysHummingbird: Donald Trump Jr. testified under oath that no foreign governments offered or provided assistance to the Trump campaign…,2018-12-06 22:10:30,,None,79,311,0.0625
1070802689800364032,RT @swin24: When President Trump has literally been shown data and charts by senior officials showing what year(s) the debt is expected to…,2018-12-06 22:10:30,,None,253,137,-0.1
1070802690068762624,RT @HeyTammyBruce: Looking forward to joining @LizMacDonaldFOX on @EveningEdit at 630p ET re my column this week: “Why Trump's border wall…,2018-12-06 22:10:30,,None,89,144,0.0
1070802690383511554,RT @Fritz757: Not funny or cute. Disgusting. https://t.co/UkVSQDEeVQ,2018-12-06 22:10:30,Southeast USA,None,4154,4401,-0.20833333333333334
1070802690710495233,"RT @AREvers: Alert: Barr was AG when George H.W. Bush pardoned Iran-Contra figures, taking the legs out of the special counsel prosecuting…",2018-12-06 22:10:30,,None,9390,10326,0.35714285714285715
1070802690823938048,Nebraska lost a billion dollars so far in Trump Trade War I. What does the president care? It's not like they were his dollars.,2018-12-06 22:10:30,"Malvern, AR",None,311,588,0.1
1070802690945544192,RT @IndivisibleTeam: UPDATE: Congress has passed a bill funding the government through 12/21 - pushing back the timeline for a potential sh…,2018-12-06 22:10:30,"Berlin, Germany",None,100,80,0.0
1070802691146870785,RT @GugaNoblat: Talvez no momento mais delicado da história da humanidade em que precisamos das pessoas mais sábias para saber lidar com qu…,2018-12-06 22:10:30,Brasilty,None,2655,3702,0.0
1070802691155247104,"RT @EdKrassen: BREAKING:  Nancy Pelosi just stood up to Trump, telling him that she will not give him his stupid wall.

Nancy Pelosi's spin…",2018-12-06 22:10:30,"Costal, not very elite",None,2901,4488,-0.7999999999999999
1070802691776016384,@missy_ryan Did he say where he WOULD draw the line? “I’ll do anything Trump tells me to...” can’t be the standard.,2018-12-06 22:10:30,"New York, USA",None,115,621,0.0
1070802691654385664,"RT @mirjordan: NEW: Undocumented workers get the job done at President Trump's golf club. My story about who makes his bed, waters the gree…",2018-12-06 22:10:30,"Washington, DC",None,89,322,0.13636363636363635
1070802692027506688,"RT @TeamPelosi: Nancy Pelosi says funding for Trump's 'immoral, ineffective, expensive' border wall is off the table

https://t.co/l7MaB4UX…",2018-12-06 22:10:30,,None,515,697,-0.5
1070802691092332546,@puffdude16 @thehill Did I say a thing about trump? Nope...... https://t.co/ZDIHUTouTA,2018-12-06 22:10:30,"Colorado, USA",None,64,316,0.0
1070802692123947008,"RT @joefaz: Devin Nunes Was The Point Man For The House GOP Russia Cover-Up
This would really be gratifying if this traitor goes down for t…",2018-12-06 22:10:31,"Wyoming, USA",None,485,1017,0.022222222222222213
1070802692602191872,"RT @MomsDemand: “This is the heat of the general election, and the same person is acting as an agent for the NRA and the Trump campaign…. T…",2018-12-06 22:10:31,"Las Vegas, NV",None,1054,3108,0.016666666666666673
1070802692757438467,RT @JamesKosur: I seriously don't mean to be mean to Trump supporters on Twitter. I apologize. It's wrong and I take full responsibility fo…,2018-12-06 22:10:31,,None,96,70,-0.19375
1070802692673548294,RT @krassenstein: BREAKING:  13 State Attorneys General are filing an amicus brief this afternoon calling Trump's efforts to restrict asylu…,2018-12-06 22:10:31,,None,90,216,0.02500000000000001
